SELECT
  dk.district_name,
  COUNT(*) AS pending_cases
FROM cases_clean cc
JOIN dist_key dk ON cc.state_code = dk.state_code AND cc.dist_code = dk.dist_code AND cc.year = dk.year
WHERE cc.date_of_decision IS NULL
GROUP BY  dk.district_name;
         district_name          pending_cases
--------------------------------+---------------
 Visakapatnam                           51140
 Vizianagaram                           15898
 Warangal                               46734
 Wardha                                 55122
 Washim                                 25397
 Wayanad                                 8670
 West                                   63084
 West Garo Hills                          593
 West Godavari                          37241
 West Jaintia Hills                       519
 West Singhbhum at Chaibasa              5142
 West Tripura                            7660
 YADGIR                                  3099
 YADGIR.                                 5234
 Yamunanagar                            28199
 Yavatmal                               85201
